B_flux,V_flux,V_std,B_std,R_std,r_std,g_std
23213.635891572914,4374.38640168665,15.085,15.723,14.64242922028766,14.822,15.365
11895.389824843069,2608.1776411706014,14.954,15.824,14.408095382286147,14.667,15.411
26076.22211769849,4281.160623805339,15.976,17.387,14.978466313398942,15.296,16.787
10716.98375329785,1341.886004971865,16.418,16.396,16.21200757002271,16.31,16.357
31465.58566337172,4220.968845466243,15.918,16.506,15.552719152157456,15.825,16.252
23918.3224402393,4201.040478213931,15.521,16.288,15.046530658591976,15.293,15.914
29143.098824337678,5851.859793847056,16.082,16.516,15.612395155185466,15.745,16.267
25642.22262310776,4220.614149074278,15.855,16.297,15.667169568508706,15.902,16.054
27962.121898127018,2831.050151715644,16.678,17.455,16.33735352006056,16.607,17.054
9225.593757737275,4151.423099925712,15.846,16.65,15.523147615442845,15.765,16.196
48683.13566037958,10647.021036274156,16.45,17.252,15.86631794095382,16.205,16.98
50371.074283886635,9401.951392350113,15.88,16.573,15.461872823618473,15.65,16.176
